Tourist_ID,Come_From,Age,Gender,Travel_Purpose,Preferred_Destination,total_cost_USD,Travel_Frequency_per_Year,travel_with,Traveler_Type
T0001,France,33,Male,Medical,Beach,3024.0,3.0,Without Family,High
T0002,Switzerland,61,Other,Leisure,Discovery,249.602925,7.0,With Family,Low
T0003,UK,74,Female,Leisure,Culture,1189.515405,7.0,Unknown,Medium
T0004,Canada,58,Female,Business,Beach,2469.0,6.0,Without Family,Medium
T0005,UK,68,Male,Leisure,Culture,1226.55,7.0,Without Family,Medium
T0006,UK,64,Other,Leisure,Discovery,2882.3925,7.0,With Family,Medium
T0007,UK,39,Other,Leisure,Adventure,880.0,8.0,With Family,Low
T0008,France,49,Male,Leisure,Beach,654.0,5.0,Without Family,Low
T0009,China,69,Female,Leisure,Discovery,613.275,7.0,Unknown,Low
T0010,UK,37,Other,Medical,Beach,2040.0,8.0,Without Family,Medium
T0011,USA,51,Male,Education,City,2888.0,10.0,Without Family,Medium
T0012,South Africa,21,Male,Business,Mountain,172.4718,7.0,Without Family,Low
T0013,USA,60,Other,Leisure,Discovery,1287.8775,7.0,With Family,Medium
T0014,Nigeria,67,Male,Leisure,Culture,367.965,7.0,Without Family,Low
T0015,Germany,42,Male,Medical,Mountain,2860.0,7.0,With Family,Medium
T0016,India,22,Female,Business,Discovery,919.9125,7.0,Without Family,Low
T0017,France,58,Female,Education,Mountain,898.0,6.0,With Family,Low
T0018,USA,72,Male,Business,Mountain,3913.0,8.0,With Family,High
T0019,Brazil,21,Other,Leisure,Discovery,413.34735,7.0,With Family,Low
T0020,Canada,32,Female,Leisure,Beach,3005.0475,7.0,With Family,High
T0021,Australia,38,Male,Medical,Adventure,1216.0,11.0,Without Family,Medium
T0022,Canada,41,Male,Leisure,Discovery,122.655,7.0,With Family,Low
T0023,China,66,Male,Business,City,1930.0,5.0,Without Family,Medium
T0024,Malta,58,Female,Leisure,Discovery,4198.2605,7.0,With Family,High
T0025,Canada,53,Male,Business,Mountain,1671.0,6.0,Without Family,Medium
T0026,Mozambique,18,Male,Leisure,Beach,183.9825,7.0,Without Family,Low
T0027,India,46,Other,Medical,Beach,876.0,11.0,Without Family,Low
T0028,Rwanda,51,Female,Leisure,Beach,122.655,7.0,Without Family,Low
T0029,China,42,Male,Business,City,2926.0,5.0,Without Family,Medium
T0030,Austria,20,Other,Leisure,Mountain,740.0,7.0,With Family,Low
T0031,Myanmar,38,Female,Business,Discovery,122.655,7.0,Unknown,Low
T0032,Canada,44,Female,Business,Adventure,817.0,10.0,With Family,Low
T0033,India,57,Other,Education,City,3142.0,8.0,Without Family,High
T0034,Germany,45,Other,Leisure,Culture,839.6521,7.0,With Family,Low
T0035,Germany,37,Male,Medical,City,3468.0,4.0,Without Family,High
T0036,Kenya,68,Female,Business,Mountain,139.6824,7.0,Unknown,Low
